[INFO ] 44-2019-12-03 09:55:17,248 method:com.crxl.xllxj.module.core.net.ChildChannelHandler.initChannel(ChildChannelHandler.java:44) - ssl_open=false
[INFO ] 183-2019-12-03 09:55:17,254 method:com.crxl.xllxj.module.core.thread.TaskManager$1.run(TaskManager.java:183) - 来自/192.168.1.199:55067收到消息：100006
[INFO ] 71-2019-12-03 09:55:17,264 method:com.crxl.xllxj.module.session.service.SessionService.createByPlayer(SessionService.java:71) - 创建回话.ip:/192.168.1.199:55067,userId:test_wzh
[INFO ] 183-2019-12-03 09:55:17,267 method:com.crxl.xllxj.module.core.thread.TaskManager$1.run(TaskManager.java:183) - {"body":[{"itemId":10048,"itemNum":1},{"itemId":10049,"itemNum":1},{"itemId":10030,"itemNum":1},{"itemId":10031,"itemNum":1},{"itemId":10002,"itemNum":1},{"itemId":10035,"itemNum":1},{"itemId":10003,"itemNum":1},{"itemId":10036,"itemNum":1},{"itemId":10004,"itemNum":1},{"itemId":10037,"itemNum":1},{"itemId":10005,"itemNum":1},{"itemId":10006,"itemNum":1},{"itemId":10007,"itemNum":1},{"itemId":10008,"itemNum":1},{"itemId":10009,"itemNum":1},{"itemId":10042,"itemNum":1},{"itemId":10043,"itemNum":1},{"itemId":10044,"itemNum":1},{"itemId":10045,"itemNum":1},{"itemId":10046,"itemNum":1},{"itemId":10047,"itemNum":1}],"commandId":200402}
[INFO ] 183-2019-12-03 09:55:17,267 method:com.crxl.xllxj.module.core.thread.TaskManager$1.run(TaskManager.java:183) - {"body":{"player":{"authorization":0,"continuousWinNum":2,"correctCount":3,"currentDuanId":10101,"currentStarNum":1,"detectiveGrade":0,"gameSeason":201912,"gamesCount":18,"gender":0,"goldCoin":897599,"headPic":"https://file.edisonluorui.com/script/videoList/headpic/a10012_50.png","headRahmen":10043,"languageBag":[10035,10036,10037,10044,10045,10046],"nickName":"user1000050","scoreSun":10,"signature":"","title":10004,"userId":"test_wzh","winCount":9}},"commandId":100006}
[INFO ] 48-2019-12-03 12:33:24,177 method:com.crxl.xllxj.module.core.start.StartCrxlAnswer.main(StartCrxlAnswer.java:48) - 加载class路径配置文件
[INFO ] 13-2019-12-03 12:33:24,218 method:org.xlcr.mongo.config.MongodbConfigLoad.load(MongodbConfigLoad.java:13) - 加载mongodb 配置文件：{"maxWaitTime":"7000","autoConnectRetry":"true","slaveOk":"false","socketTimeout":"15000","connectionsPerHost":"1000","username":"","writeNumber":"1","threadsAllowedToBlockForConnectionMultiplier":"50","fsync":"true","connectTimeout":"10000","database":"xlcr_answer_test","password":"","socketKeepAlive":"true","host":"192.168.1.195:20001","writeTimeout":"1000"}
[INFO ] 30-2019-12-03 12:33:24,242 method:org.xlcr.mongo.config.MongodbConfigLoad.load(MongodbConfigLoad.java:30) - 数据库连接地址：[{"ip":"192.168.1.195","port":20001}]
[INFO ] 46-2019-12-03 12:33:24,244 method:org.xlcr.mongo.config.MongoTemplateFactory.intiDataSource(MongoTemplateFactory.java:46) - 没有设置mongodb用户名验证[{"ip":"192.168.1.195","port":20001}]
[INFO ] 22-2019-12-03 12:33:24,492 method:com.crxl.xllxj.module.core.config.ServerConfigLoad.load(ServerConfigLoad.java:22) - 加载 server.property 配置文件：{"ssl_open":"false","ssl_filename":"2390924__edisonluorui.com.jks","ssl_type":"JKS","ssl_password":"2Gg4aGXu","main_server_address":"","jetty_port":"8882","server_port":"9998"}
[INFO ] 63-2019-12-03 12:33:24,493 method:com.crxl.xllxj.module.core.start.StartCrxlAnswer.main(StartCrxlAnswer.java:63) - log4j 加载完毕，开始启动服务器
[INFO ] 68-2019-12-03 12:33:24,524 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_16---->save_6
[INFO ] 68-2019-12-03 12:33:24,524 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_0---->save_0
[INFO ] 68-2019-12-03 12:33:24,524 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_15---->save_5
[INFO ] 68-2019-12-03 12:33:24,524 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_21---->save_1
[INFO ] 68-2019-12-03 12:33:24,524 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_8---->save_8
[INFO ] 68-2019-12-03 12:33:24,524 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_2---->save_2
[INFO ] 68-2019-12-03 12:33:24,524 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_19---->save_9
[INFO ] 68-2019-12-03 12:33:24,525 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_49---->save_9
[INFO ] 68-2019-12-03 12:33:24,525 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_18---->save_8
[INFO ] 68-2019-12-03 12:33:24,525 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_24---->save_4
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_47---->save_7
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_9---->save_9
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_14---->save_4
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_26---->save_6
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_25---->save_5
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_6---->save_6
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_45---->save_5
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_48---->save_8
[INFO ] 68-2019-12-03 12:33:24,526 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_35---->save_5
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_36---->save_6
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_39---->save_9
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_11---->save_1
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_12---->save_2
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_4---->save_4
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_13---->save_3
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_43---->save_3
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_23---->save_3
[INFO ] 68-2019-12-03 12:33:24,527 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_7---->save_7
[INFO ] 68-2019-12-03 12:33:24,528 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_38---->save_8
[INFO ] 68-2019-12-03 12:33:24,528 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_1---->save_1
